"","ID","weekday","day","revenue","expGrossProfit","avgTemp","lowTemp","highTemp","precipitation","windSpeed","sunMinutes","month"
"1",1,"Mittwoch","01.04.2020",47.4,9.66,4.7,-2.5,8.7,0.8,16.6,21,"04"
"2",2,"Donnerstag","02.04.2020",75,13.8,6.9,4.7,10.2,1.3,22,94,"04"
"3",3,"Freitag","03.04.2020",74.5,13.725,5.1,0,9,0.3,19.1,402,"04"
"4",4,"Samstag","04.04.2020",360,56.55,6.1,-0.8,13.3,0,10.4,408,"04"
"5",5,"Sonntag","05.04.2020",131,22.2,10.2,1.6,16.9,0,19.4,735,"04"
"6",6,"Montag","06.04.2020",59,11.4,13.4,5.4,22.4,0,14.4,744,"04"
"7",7,"Dienstag","07.04.2020",216,34.95,12.1,7.9,17.4,0,11.2,601,"04"
"8",8,"Mittwoch","08.04.2020",110,19.05,13.4,6.9,22,0,13,670,"04"
"9",9,"Donnerstag","09.04.2020",195.1,31.815,9.6,1.9,15.8,0,12.2,629,"04"
"10",10,"Freitag","10.04.2020",134.5,22.725,5.9,-2.5,12.5,0,10.8,730,"04"
"11",11,"Samstag","11.04.2020",156,25.95,9.2,-1.2,17.5,0,7.6,723,"04"
"12",12,"Sonntag","12.04.2020",782.6,119.94,13.4,5.2,21.4,0,12.6,771,"04"
"13",13,"Montag","13.04.2020",206.5,33.525,6.1,2.5,10.3,0,29.2,644,"04"
"14",14,"Dienstag","14.04.2020",129.6,21.99,5,-2.2,9.1,0,17.3,377,"04"
"15",15,"Mittwoch","15.04.2020",214.1,34.665,9,4.5,15.1,0,18.4,590,"04"
"16",16,"Donnerstag","16.04.2020",288.7,45.855,9.1,2.3,15.7,0,13,559,"04"
"17",17,"Freitag","17.04.2020",385,60.3,8.3,0,15.6,0,8.3,784,"04"
"18",18,"Samstag","18.04.2020",90,16.05,9.1,1.9,15.6,0,15.1,792,"04"
"19",19,"Sonntag","19.04.2020",310.9,49.185,8.1,2.3,13.7,0,18,803,"04"
"20",20,"Montag","20.04.2020",131,22.2,9.2,1.1,15.8,0,19.8,807,"04"
"21",21,"Dienstag","21.04.2020",175.1,28.815,11,4.5,16.8,0,25.2,809,"04"
"22",22,"Mittwoch","22.04.2020",491,76.2,10.8,4.5,17.2,0,18.7,813,"04"
"23",23,"Donnerstag","23.04.2020",198,32.25,13,3.3,21,0,8.6,808,"04"
"24",24,"Freitag","24.04.2020",247,39.6,10.9,6.3,17.3,0,19.8,707,"04"
"25",25,"Samstag","25.04.2020",311,49.2,10.1,4.8,16.4,0,13.7,665,"04"
"26",26,"Sonntag","26.04.2020",171,28.2,7.1,1.6,12.4,0,8.6,454,"04"
"27",27,"Montag","27.04.2020",66,12.45,12.2,2.1,20,0,7.9,680,"04"
